Week End,Crude Volumes For The Week
07/18/1995,79.48
07/25/1995,72.76
07/25/1995,109.98
07/25/1995,81.15
08/01/1995,74.39
08/01/1995,109.02
08/01/1995,79.77
08/08/1995,73.37
08/08/1995,110.98
08/08/1995,82.06
08/15/1995,66.46
08/15/1995,109.81
08/15/1995,80.68
08/22/1995,64.72
08/22/1995,107.93
08/22/1995,80.52
08/29/1995,67.64
08/29/1995,107.43
08/29/1995,79.29
09/05/1995,67.17
09/05/1995,112.41
09/05/1995,81.78
09/12/1995,64.33
09/12/1995,114.6
09/12/1995,82.61
09/19/1995,61.45
09/19/1995,100.3
09/19/1995,83.32
09/26/1995,70.42
09/26/1995,85.98
09/26/1995,81.61
10/03/1995,70.61
10/03/1995,69.26
10/03/1995,83.76
10/10/1995,70.25
10/10/1995,68.73
10/10/1995,80.14
10/17/1995,69.53
10/17/1995,79.1
10/17/1995,76.35
10/24/1995,74.95
10/24/1995,90.85
10/24/1995,75.92
10/31/1995,74.19
10/31/1995,108.08
10/31/1995,75.09
11/07/1995,74.0
11/07/1995,109.73
11/07/1995,77.09
11/14/1995,74.21
11/14/1995,114.55
11/14/1995,78.16
11/21/1995,74.35
11/21/1995,112.64
11/21/1995,77.68
11/28/1995,70.9
11/28/1995,107.14
11/28/1995,78.79
12/05/1995,70.52
12/05/1995,107.12
12/05/1995,77.1
12/12/1995,73.74
12/12/1995,107.37
12/12/1995,76.4
12/19/1995,71.99
12/19/1995,113.29
12/19/1995,74.14
12/26/1995,71.43
12/26/1995,111.56
12/26/1995,71.76
01/02/1996,71.89
01/02/1996,104.7
01/02/1996,72.11
01/09/1996,71.31
01/09/1996,112.31
01/09/1996,74.17
01/16/1996,73.1
01/16/1996,108.85
01/16/1996,76.4
01/23/1996,73.04
01/23/1996,108.96
01/23/1996,75.22
01/30/1996,73.32
01/30/1996,107.53
01/30/1996,74.88
02/06/1996,73.04
02/06/1996,110.17
02/06/1996,77.68
02/13/1996,77.19
02/13/1996,115.42
02/13/1996,80.53
02/20/1996,73.89
02/20/1996,112.29
02/20/1996,80.15
02/27/1996,74.99
02/27/1996,116.78
02/27/1996,79.08
03/05/1996,79.2
03/05/1996,115.98
03/05/1996,78.54
03/12/1996,73.49
03/12/1996,116.53
03/12/1996,76.11
03/19/1996,75.33
03/19/1996,113.22
03/19/1996,75.96
03/26/1996,74.28
03/26/1996,112.71
03/26/1996,74.65
04/02/1996,65.38
04/02/1996,109.76
04/02/1996,75.32
04/09/1996,65.44
04/09/1996,110.09
04/09/1996,75.31
04/16/1996,64.41
04/16/1996,108.12
04/16/1996,70.3
04/23/1996,66.33
04/23/1996,93.08
04/23/1996,62.63
04/30/1996,60.9
04/30/1996,100.12
04/30/1996,64.04
05/07/1996,58.46
05/07/1996,107.54
05/07/1996,71.71
05/14/1996,54.86
05/14/1996,99.32
05/14/1996,75.64
05/21/1996,66.09
05/21/1996,109.65
05/21/1996,73.83
05/28/1996,76.96
05/28/1996,93.69
05/28/1996,75.41
06/04/1996,76.73
06/04/1996,104.52
06/04/1996,75.74
06/11/1996,69.06
06/11/1996,113.45
06/11/1996,77.07
06/18/1996,76.04
06/18/1996,109.92
06/18/1996,75.76
06/25/1996,77.45
06/25/1996,117.73
06/25/1996,75.57
07/02/1996,77.84
07/02/1996,111.48
07/02/1996,77.06
07/09/1996,77.62
07/09/1996,96.61
07/09/1996,79.04
07/16/1996,78.21
07/16/1996,96.57
07/16/1996,78.49
07/23/1996,77.26
07/23/1996,106.56
07/23/1996,78.11
07/30/1996,77.95
07/30/1996,109.49
07/30/1996,78.55
08/06/1996,78.22
08/06/1996,110.93
08/06/1996,77.46
08/13/1996,76.54
08/13/1996,105.14
08/13/1996,80.4
08/20/1996,76.24
08/20/1996,112.67
08/20/1996,78.8
08/27/1996,70.53
08/27/1996,93.88
08/27/1996,79.21
09/03/1996,77.51
09/03/1996,86.54
09/03/1996,79.73
09/10/1996,75.42
09/10/1996,99.68
09/10/1996,81.63
09/17/1996,77.05
09/17/1996,109.54
09/17/1996,82.06
09/24/1996,76.75
09/24/1996,104.56
09/24/1996,81.2
10/01/1996,73.18
10/01/1996,104.2
10/01/1996,77.79
10/08/1996,73.41
10/08/1996,104.73
10/08/1996,77.0
10/15/1996,75.04
10/15/1996,98.45
10/15/1996,80.31
10/22/1996,75.44
10/22/1996,102.55
10/22/1996,71.14
10/29/1996,74.5
10/29/1996,101.8
10/29/1996,77.34
11/05/1996,73.94
11/05/1996,114.05
11/05/1996,79.96
11/12/1996,74.93
11/12/1996,113.87
11/12/1996,74.15
11/19/1996,76.69
11/19/1996,112.64
11/19/1996,70.19
11/26/1996,75.5
11/26/1996,114.84
11/26/1996,71.45
12/03/1996,75.69
12/03/1996,115.95
12/03/1996,71.27
12/10/1996,73.25
12/10/1996,114.61
12/10/1996,74.6
12/17/1996,75.81
12/17/1996,115.29
12/17/1996,77.38
12/24/1996,74.75
12/24/1996,115.02
12/24/1996,78.64
12/31/1996,73.0
12/31/1996,117.41
12/31/1996,75.23
01/07/1997,73.13
01/07/1997,115.56
01/07/1997,69.26
01/14/1997,80.27
01/14/1997,109.23
01/14/1997,76.08
01/21/1997,78.2
01/21/1997,114.66
01/21/1997,73.38
01/28/1997,79.52
01/28/1997,115.16
01/28/1997,77.63
02/04/1997,80.99
02/04/1997,116.52
02/04/1997,78.73
02/11/1997,72.3
02/11/1997,116.35
02/11/1997,79.34
02/18/1997,72.8
02/18/1997,115.42
02/18/1997,80.37
